Name (or Code),RIC,Country,Market Capitalisation (million USD),adv(million USD),GICS Sector,GICS Industry,99/10/18-00/4/1,99/10/18-99/11/19,99/10/18-00/3/6,99/11/19-00/3/6,99/10/18-00/12/31,00/3/6-00/12/31,16/11/8-17/4/30,16/12/1-17/4/30
Medinet Co Ltd,23701.T^A04,Japan,106.3640738,0,Health Care,Life Sciences Tools & Services,,,,,,,,
TerraSky Co Ltd,3915.T,Japan,173.0410437,1.112788526,Information Technology,Internet Software & Services,,,,,,,57.0934256,50.33112583
Anshin Guarantor Service Co Ltd,7183.T,Japan,98.47711557,0.414360028,Financials,Consumer Finance,,,,,,,-18.85782058,-24.09937888
Meiji Shipping Co Ltd,9115.T,Japan,137.828387,0.104131702,Industrials,Marine,-3.846845873,-15.25423729,-12.42937853,3.333333335,-7.8772176,5.198274091,19.60784314,-3.174603171
Torex Semiconductor Ltd,6616.T,Japan,149.0794011,0.953494166,Information Technology,Semiconductors & Semiconductor Equipment,,,,,,,45.85774058,10.3164557
Nippon Piston Ring Co Ltd,6461.T,Japan,179.0010785,0.950473766,Consumer Discretionary,Auto Components,-12.04819278,-16.86746988,-12.65060242,5.072463761,-50,-42.75862069,46.25766871,24.81675392
Oisix Inc,3182.T,Japan,153.4502312,0.359883206,Consumer Discretionary,Internet & Direct Marketing Retail,,,,,,,3.95371263,3.059273422
Ef On Inc,95141.T^K05,Japan,148.8924397,0,Industrials,Commercial Services & Supplies,,,,,,,,
Ef On Inc,9514.T,Japan,148.8924397,0.516448099,Industrials,Commercial Services & Supplies,,,,,,,30.69444445,4.092920356
Minami-Nippon Bank Ltd,8554.FU,Japan,113.2469363,0.016632686,Financials,Banks,-1.953124998,0,-1.171874998,-1.171874998,-6.359638613,-5.249278598,-0.636942673,0.645161292
Toyo Tec Co Ltd,9686.T,Japan,110.7791626,0.005246824,Industrials,Commercial Services & Supplies,-42.8517647,-20.94117647,-35.29411765,-18.1547619,-53.1635817,-27.61644444,-2.262443436,-1.459854011
Sakai Ovex Co Ltd,3408.T,Japan,104.1880011,0.283522312,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",-34.32835821,-4.47761194,-41.79104478,-39.0625,-43.28358209,-2.564102566,-5.453563711,-2.014549519
Hokuriku Gas Co Ltd,9537.T,Japan,117.5360889,0.02010775,Utilities,Gas Utilities,-15,-12.77777778,-16.66666666,-4.458598723,-15,2.000000001,4.836852205,0.774907748
Sega Toys Co Ltd,78421.Q^K05,Japan,NULL,0,Consumer Discretionary,Leisure Products,,,,,,,,
Sega Toys Co Ltd,7842L.OS^K10,Japan,NULL,0,Consumer Discretionary,Leisure Products,,,,,,,,
Saint-Care Holding Corp,23741.Q^K05,Japan,115.7791167,0,Health Care,Health Care Providers & Services,,,,,,,,
Saint-Care Holding Corp,2374.T,Japan,115.7791167,0.163359127,Health Care,Health Care Providers & Services,,,,,,,-9.244186046,-10.39035591
Iwasaki Electric Co Ltd,6924.T,Japan,115.7197046,0.344814614,Industrials,Electrical Equipment,-0.158730156,7.111111113,-8.888888886,-14.93775934,34.92063493,48.0836237,1.851851848,-6.250000003
Choushimaru Co Ltd,3075.T,Japan,114.1601901,0.129936379,Consumer Discretionary,"Hotels, Restaurants & Leisure",,,,,,,1.740139211,3.664302601
Suzuki Metal Industry Co Ltd,5657.T^H15,Japan,120.6198666,0.052892639,Industrials,Electrical Equipment,-8.549308757,-5.142857143,-21.71428572,-17.46987952,-10.87926268,13.8403579,,
DLE Inc,3686.T,Japan,101.6147906,1.627421672,Consumer Discretionary,Media,,,,,,,-23.67346939,-8.928571429
